SMILES,Texpi
CC[N+](CC)(CC)CC,310
CC[N+](CC)(CC)CC,298
CC=CC1=CC(=C(C=C1)O)OC,305
CC=CC1=CC(=C(C=C1)O)OC,305
CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,298
CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,310
CC1=C(C=C(C=C1)C(C)C)O,305
CC1=C(C=C(C=C1)O)C,298
CC1=C(C=CC(=C1)O)Cl,298
CC1=C(C=CC(=C1)O)Cl,305
CC1=C(C=CC(=C1)O)Cl,305
CC1=CC(=C(C=C1)C(C)C)O,298
CC1=CC(=C(C=C1)C(C)C)O,305
CC1=CC(=CC(=C1Cl)C)O,298
CC1=CC(=CC(=C1Cl)C)O,305
CC1=CC(=CC=C1)O,298
CC1=CC=C(C=C1)C#N,305
CC1=CC=C(C=C1)C#N,305
CC1=CC=C(C=C1)O,298
CC1=CC=C(C=C1)O,310
CC1=CC=CC=C1,310
CC1=CC=CC=C1O,298
CC1=CC2=C(C=C1)OC(=O)C=C2,305
CC1=CC2=C(C=C1)OC(=O)C=C2,305
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,298
CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,298
CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,299
CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,299
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,305
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,305
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,308
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,300
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,299
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,312
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
