Compound_Name,Canonical_SMILES,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Low_Source_Data_Row,High_Source_Data_Row,Low_Reference,High_Reference,Low_DOI,High_DOI,Differing_Condition_Count,Differing_Conditions,Low_skin source type,High_skin source type,Low_skin source site,High_skin source site,Low_used layer,High_used layer,Low_skin preparation,High_skin preparation,Low_storage temperature (°C),High_storage temperature (°C),Low_storage duration (days),High_storage duration (days),Low_neat,High_neat,Low_donor/skin surface temperature (°C),High_donor/skin surface temperature (°C),Low_donor pH,High_donor pH,Low_donor type,High_donor type,Low_acceptor temperature (°C),High_acceptor temperature (°C),Low_acceptor pH,High_acceptor pH,Low_acceptor type,High_acceptor type,Low_cell type,High_cell type
Sufentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,9,-5.76400000,-5.01800000,0.74600000,5.57185749,0.00000000,469,474,"Roy, 1990","Roy, 1990",10.1023/A:1015912932416,10.1023/A:1015912932416,2,donor pH | donor type,Cadaver,Cadaver,thigh,thigh,"epidermis, dermis","epidermis, dermis",dermatomed,dermatomed,-20,-20,unknown,unknown,0,0,37,37,6.02,9.04,Citrate-phosphate buffer,Potassium phosphate buffer,37,37,7.4,7.4,unknown,unknown,unknown,unknown
Testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,11,-6.21400000,-5.47600000,0.73800000,5.47015963,0.01697367,175,402,"Mitragotri, 1995","Sznitowska, 2001",10.1002/jps.2600840607,10.1016/s0168-3659(01)00443-6,10,skin source site | used layer | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor pH | acceptor temperature (°C) | acceptor type | cell type,Cadaver,Cadaver,"abdomen, back",abdomen,epidermis,"epidermis, dermis",heat separation,unknown,4,-30,7,unknown,0,0,25,37,unknown,6,PBS,PBS,25,37,unknown,unknown,PBS,"NaCl, sodium azide, acetone",Glass diffusion cell,Flow through cell
Bis(2-ethylhexyl)phthalate,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,2,-7.65300000,-6.97900000,0.67400000,4.72063041,0.00000000,57,33,"Buist, 2010","Barber, 1992",10.1016/j.yrtph.2010.02.008,10.1016/0272-0590(92)90086-W,12,skin source type | skin source site | used layer | skin preparation | storage temperature (°C) | storage duration (days) | neat | donor type | acceptor temperature (°C) | acceptor pH | acceptor type | cell type,unknown,Cadaver,abdomen,unknown,epidermis,stratum corneum,prepared with NaBr solution,heat separation,-80,4,unknown,2,0,1,unknown,unknown,unknown,unknown,"NaCl, sodium azide",unknown,unknown,30,unknown,7.1,unknown,Dulbecco PBS,unknown,Franz cell
1-Pentanol,CCCCCO,4,-5.77800000,-5.17600000,0.60200000,3.99944750,0.08369436,40,454,"Blank, 1964","Scheuplein, 1973",10.1038/jid.1964.174,10.1111/1523-1747.ep12723090,8,used layer | skin preparation | storage temperature (°C) | donor/skin surface temperature (°C) | donor type | acceptor temperature (°C) | acceptor type | cell type,Cadaver,Cadaver,abdomen,abdomen,"epidermis, dermis",dermis,fat removed,heat separation,unknown,4,unknown,unknown,0,0,22,25,unknown,unknown,NaCl solution,unknown,22,unknown,unknown,unknown,NaCl solution,Water,unknown,Pyrex cell
1-Octanol,CCCCCCCCO,9,-5.14100000,-4.58600000,0.55500000,3.58921935,0.05626610,452,83,"Scheuplein, 1973","Cross, 2003",10.1111/1523-1747.ep12723090,10.1046/j.1523-1747.2003.12131.x,10,skin source type | used layer | storage temperature (°C) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor pH | acceptor type | cell type,Cadaver,Abdominoplasty,abdomen,abdomen,dermis,epidermis,heat separation,heat separation,4,unknown,unknown,unknown,0,0,25,35,unknown,7.4,unknown,PBS,unknown,35,unknown,7.4,Water,PBS with bovine serum albumin,Pyrex cell,Franz cell
Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,4,-6.07900000,-5.53000000,0.54900000,3.53997341,0.00000000,187,390,"Mitragotri, 2000","Kushla, 1991",10.1023/A:1007547809430,10.1016/0378-5173(91)90387-4,10,skin source type | skin source site | used layer | skin preparation | storage temperature (°C) | donor pH | donor type | acceptor pH | acceptor type | cell type,unknown,Amputated limb,unknown,leg,epidermis,"epidermis, dermis",heat separation,dermatomed 150um,unknown,-14.5,unknown,unknown,0,0,unknown,unknown,7.4,10.0,PBS,"Hydroxypropyl cellulose, chlorbutanol",unknown,unknown,7.4,unknown,PBS,unknown,Glass diffusion cell,Flow through cell
Ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,4,-6.32600000,-5.77800000,0.54800000,3.53183170,0.00000000,165,156,"Michaels A. S., 1975","Michaels A. S., 1975",10.1002/aic.690210522,10.1002/aic.690210522,1,donor pH,Cadaver,Cadaver,thigh,thigh,"epidermis, dermis","epidermis, dermis",unknown,unknown,4,4,14,14,0,0,30,30,8.85,10.8,unknown,unknown,30,30,6.5,6.5,Ringer solution,Ringer solution,Glass diffusion cell,Glass diffusion cell
2-Ethoxyethanol,CCOCCO,3,-7.15800000,-6.63100000,0.52700000,3.36511569,0.01384772,45,489,"Blank, 1967","Dugard, 1984",10.1038/jid.1967.184,10.1289/ehp.8457193,4,neat | donor/skin surface temperature (°C) | acceptor temperature (°C) | acceptor type,Cadaver,Cadaver,abdomen,abdomen,epidermis,epidermis,heat separation,heat separation,unknown,unknown,unknown,unknown,0,1,unknown,30,unknown,unknown,unknown,unknown,unknown,30,unknown,unknown,unknown,Water,Glass diffusion cell,Glass diffusion cell
Benzoic acid,O=C(O)c1ccccc1,2,-5.67500000,-5.15600000,0.51900000,3.30369541,0.00000000,56,95,"Buist, 2010","Degim, 1998",10.1016/j.yrtph.2010.02.008,10.1016/S0378-5173(98)00113-6,9,skin source type | used layer | skin preparation | storage temperature (°C) | donor type | acceptor temperature (°C) | acceptor pH | acceptor type | cell type,unknown,Abdominoplasty,abdomen,abdomen,epidermis,"epidermis, dermis",prepared with NaBr solution,unknown,-80,unknown,unknown,unknown,0,0,unknown,unknown,unknown,unknown,"NaCl, sodium azide",Water,unknown,37,unknown,7.4,unknown,PBS,unknown,Franz cell
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,2,-5.50300000,-4.99600000,0.50700000,3.21366054,0.00083305,305,97,"Swart, 2005","Degim, 1998",10.1016/j.ijpharm.2005.05.030,10.1016/S0378-5173(98)00113-6,6,used layer | skin preparation | storage temperature (°C) | donor/skin surface temperature (°C) | donor pH | donor type,Abdominoplasty,Abdominoplasty,abdomen,abdomen,epidermis,"epidermis, dermis",heat separation,unknown,-20,unknown,unknown,unknown,0,0,37,unknown,7,unknown,PBS,Water,37,37,7.4,7.4,PBS,PBS,Franz cell,Franz cell
