Variability_Rank,Canonical_SMILES,Compound_Name,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Mean,Experimental_Median,Experimental_SD,Predicted_Min,Predicted_Max,Condition_Signatures,References,DOIs,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Variability_Band
40,NC(CC(=O)O)C(=O)O,Aspartic acid,2,-7.58500000,-7.43200000,-7.50850000,-7.50850000,0.10818734,-7.63349631,-7.63349631,2,1,1,0.15300000,1.42232879,0.00000000,Low (≤0.5 log unit)
41,Cc1ccc(Cl)c(O)c1C,Chloroxylenol,2,-4.78500000,-4.65100000,-4.71800000,-4.71800000,0.09475231,-4.90191039,-4.88430592,2,2,2,0.13400000,1.36144468,0.01760447,Low (≤0.5 log unit)
42,CNC(=O)Oc1ccccc1OC(C)C,Propoxur,3,-5.91200000,-5.79700000,-5.86233333,-5.87800000,0.05907904,-5.52478592,-5.52478592,3,1,1,0.11500000,1.30316678,0.00000000,Low (≤0.5 log unit)
43,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,Flufenamic acid,4,-6.20100000,-6.09400000,-6.15000000,-6.15250000,0.05535943,-6.14900596,-6.14900596,4,1,1,0.10700000,1.27938130,0.00000000,Low (≤0.5 log unit)
44,N[C@@H](Cc1c[nH]cn1)C(=O)O,Histidine,3,-7.90700000,-7.81200000,-7.87400000,-7.90300000,0.05373081,-7.59313163,-7.59313163,3,1,1,0.09500000,1.24451461,0.00000000,Low (≤0.5 log unit)
45,Cc1ccc(C(C)C)c(O)c1,Thymol,3,-4.86000000,-4.77000000,-4.82133333,-4.83400000,0.04631774,-4.77349764,-4.74197271,3,3,3,0.09000000,1.23026877,0.03152493,Low (≤0.5 log unit)
46,COCC(C)O,1-Methoxy-2-Propanol,2,-6.45900000,-6.39700000,-6.42800000,-6.42800000,0.04384062,-6.82087408,-6.80702636,2,2,2,0.06200000,1.15345326,0.01384772,Low (≤0.5 log unit)
47,Cc1ccc(C(C)C)cc1O,Carvacrol,2,-4.84200000,-4.81000000,-4.82600000,-4.82600000,0.02262742,-4.78802485,-4.78802485,2,2,2,0.03200000,1.07646521,0.00000000,Low (≤0.5 log unit)
48,Oc1ccccc1,Phenol,2,-5.61400000,-5.58600000,-5.60000000,-5.60000000,0.01979899,-6.05113269,-6.03762779,2,2,2,0.02800000,1.06659612,0.01350490,Low (≤0.5 log unit)
49,CCOCC,Diethyl ether,2,-5.35200000,-5.32500000,-5.33850000,-5.33850000,0.01909188,-5.49390726,-5.47589023,2,2,2,0.02700000,1.06414302,0.01801703,Low (≤0.5 log unit)
50,CCCCCCCCN1CCCC1=O,1-Octyl-2-Pyrrolidone,2,-4.82700000,-4.81000000,-4.81850000,-4.81850000,0.01202082,-5.40574154,-5.40574154,2,1,1,0.01700000,1.03992017,0.00000000,Low (≤0.5 log unit)
51,CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Hydrocortisone 21-propionate,2,-6.03800000,-6.02500000,-6.03150000,-6.03150000,0.00919239,-6.20079084,-6.20079084,2,1,1,0.01300000,1.03038612,0.00000000,Low (≤0.5 log unit)
