row #,COSMOS ID,CAS RN,COSMOS Name,STRUCTURE NOTE,SMILES,InChI,InChIKey,Atoms,Bonds,BondsRot,HAcc,HAccN,HAccO,HDon,HDonN,HDonO,Ro5Viol,Ro5ViolExt,Stereo,Weight,Complex,ComplexRing,TPSA,XlogP,Experimental_logKp_available,Experimental_logKp_record_count,Experimental_logKp_values_log10_cm_per_s,Experimental_logKp_mean_log10_cm_per_s,Experimental_logKp_median_log10_cm_per_s,Experimental_logKp_min_log10_cm_per_s,Experimental_logKp_max_log10_cm_per_s,Structure_match_method,Experimental_source,Source_URL
304,CMS-240,58-08-2,CAFFEINE,EXACT STRUCTURE,Cn1c(=O)c2c(ncn2C)n(C)c1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,24,25,0,6,4,2,0,0,0,0,0,0,194.191,293.066,1.22222,58.44,-0.431527,Yes,7,-7.556 | -7.145 | -7.053 | -6.915 | -6.828 | -6.541 | -6.352,-6.912857,-6.915000,-7.556000,-6.352000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
338,CMS-620,117-81-7,DI(2-ETHYLHEXYL) PHTHALATE,EXACT STRUCTURE,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,"InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3",BJQHLKABXJIVAM-UHFFFAOYSA-N,66,66,16,4,0,4,0,0,0,1,2,2,390.556,394.321,1,52.6,7.84981,Yes,3,-10.535 | -8.8 | -7.653,-8.996000,-8.800000,-10.535000,-7.653000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
339,CMS-3625,95-65-8,"3,4-XYLENOL",EXACT STRUCTURE,Cc1ccc(O)cc1C,"InChI=1S/C8H10O/c1-6-3-4-8(9)5-7(6)2/h3-5,9H,1-2H3",YCOXTKKNXUZSKD-UHFFFAOYSA-N,19,19,0,1,0,1,1,0,1,0,0,0,122.164,90.5684,1,20.23,2.2713,Yes,1,-5,-5.000000,-5.000000,-5.000000,-5.000000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
340,CMS-4841,60-12-8,PHENETHYL ALCOHOL,EXACT STRUCTURE,OCCc1ccccc1,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",WRMNZCZEMHIOCP-UHFFFAOYSA-N,19,19,2,1,0,1,1,0,1,0,0,0,122.164,64.9679,1,20.23,1.36587,Yes,1,-5.276,-5.276000,-5.276000,-5.276000,-5.276000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
357,CMS-8324,533-73-3,"1,2,4-BENZENETRIOL",EXACT STRUCTURE,Oc1ccc(O)c(O)c1,"InChI=1S/C6H6O3/c7-4-1-2-5(8)6(9)3-4/h1-3,7-9H",GGNQRNBDZQJCCN-UHFFFAOYSA-N,15,15,0,3,0,3,3,0,3,0,0,0,126.11,94.3038,1,60.69,0.809038,Yes,1,-7.456,-7.456000,-7.456000,-7.456000,-7.456000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
358,CMS-3639,111-76-2,ETHYLENE GLYCOL MONOBUTYL ETHER,EXACT STRUCTURE,CCCCOCCO,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",POAOYUHQDCAZBD-UHFFFAOYSA-N,22,21,5,2,0,2,1,0,1,0,0,0,118.174,37.5098,0,29.46,0.624655,Yes,2,-7.226 | -5.34,-6.283000,-6.283000,-7.226000,-5.340000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
360,CMS-731,123-31-9,HYDROQUINONE,EXACT STRUCTURE,Oc1ccc(O)cc1,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",QIGBRXMKCJKVMJ-UHFFFAOYSA-N,14,14,0,2,0,2,2,0,2,0,0,0,110.111,54.9288,1,40.46,0.78547,Yes,2,-8.586 | -6.506,-7.546000,-7.546000,-8.586000,-6.506000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
366,CMS-3690,109-86-4,ETHYLENE GLYCOL MONOMETHYL ETHER,EXACT STRUCTURE,COCCO,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",XNWFRZJHXBZDAG-UHFFFAOYSA-N,13,12,2,2,0,2,1,0,1,0,0,0,76.0944,14.3645,0,29.46,-0.695781,Yes,1,-6.095,-6.095000,-6.095000,-6.095000,-6.095000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
373,CMS-3700,108-39-4,M-CRESOL,EXACT STRUCTURE,Cc1cccc(O)c1,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",RLSSMJSEOOYNOY-UHFFFAOYSA-N,16,16,0,1,0,1,1,0,1,0,0,0,108.138,70.7871,1,20.23,2.04752,Yes,1,-5.373,-5.373000,-5.373000,-5.373000,-5.373000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
375,CMS-1797,95-48-7,O-CRESOL,EXACT STRUCTURE,Cc1ccccc1O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",QWVGKYWNOKOFNN-UHFFFAOYSA-N,16,16,0,1,0,1,1,0,1,0,0,0,108.138,70.7871,1,20.23,1.83414,Yes,1,-5.36,-5.360000,-5.360000,-5.360000,-5.360000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
