Variability_Rank,Compound_Name,Canonical_SMILES,SMILES_Values,All_Measurements,Selected_Measurements,Excluded_Measurements,Selection_Coverage_Percent,Variability_Band,Experimental_All_Min,Experimental_All_Max,Experimental_All_Mean,Experimental_All_Median,Experimental_All_SD,Experimental_All_IQR,Experimental_All_Range,Experimental_All_Fold_Range_Kp,Experimental_Selected_Min,Experimental_Selected_Max,Experimental_Selected_Mean,Experimental_Selected_Median,Experimental_Selected_SD,Experimental_Selected_IQR,Experimental_Selected_Range,Prediction_All_Min,Prediction_All_Max,Prediction_All_Mean,Prediction_All_Median,Prediction_All_SD,Prediction_All_IQR,Prediction_All_Range,Prediction_All_Unique_Count,Prediction_Selected_Min,Prediction_Selected_Max,Prediction_Selected_Mean,Prediction_Selected_Median,Prediction_Selected_SD,Prediction_Selected_IQR,Prediction_Selected_Range,Prediction_Selected_Unique_Count,Absolute_Error_Selected_Min,Absolute_Error_Selected_Max,Absolute_Error_Selected_Mean,Condition_Combinations_All,Condition_Combinations_Selected,Donor_Surface_Temperatures_All,Donor_Surface_Temperatures_Selected,References_All,References_Selected,Reference_Count_All,Reference_Count_Selected,DOIs_All,DOIs_Selected,DOI_Count_All,DOI_Count_Selected
51,Methyl 4-hydroxybenzoate,COC(=O)c1ccc(O)cc1,COC(=O)c1ccc(cc1)O,4,4,0,100.00000000,Low (≤0.5 log unit),-5.63400000,-5.23000000,-5.52300000,-5.61400000,0.19611221,0.12800000,0.40400000,2.53512863,-5.63400000,-5.23000000,-5.52300000,-5.61400000,0.19611221,0.12800000,0.40400000,-5.49396159,-5.46314962,-5.47085262,-5.46314962,0.01540598,0.00770299,0.03081196,2,-5.49396159,-5.46314962,-5.47085262,-5.46314962,0.01540598,0.00770299,0.03081196,2,0.10203841,0.23314962,0.16872220,4,4,32 | 25,32 | 25,"Akomeah, 2007 || Roberts, 1977 || Romonchuk, 2010 || Zhang, 2009","Akomeah, 2007 || Roberts, 1977 || Romonchuk, 2010 || Zhang, 2009",4,4,10.1002/jps.20773 || 10.1111/j.2042-7158.1977.tb11434.x || 10.1159/000272121 || 10.1007/s11095-009-9912-4,10.1002/jps.20773 || 10.1111/j.2042-7158.1977.tb11434.x || 10.1159/000272121 || 10.1007/s11095-009-9912-4,4,4
52,Mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,4,4,0,100.00000000,Low (≤0.5 log unit),-8.15800000,-7.77100000,-7.91550000,-7.86650000,0.17404310,0.18150000,0.38700000,2.43781082,-8.15800000,-7.77100000,-7.91550000,-7.86650000,0.17404310,0.18150000,0.38700000,-7.98779468,-7.92045973,-7.96033199,-7.96653678,0.02840772,0.01683374,0.06733496,3,-7.98779468,-7.92045973,-7.96033199,-7.96653678,0.02840772,0.01683374,0.06733496,3,0.04353678,0.21679468,0.14056360,4,4,37 | 32 | 30,37 | 32 | 30,"Peck, 1994 || Clowes, 1994 || Scott, 1990","Peck, 1994 || Clowes, 1994 || Scott, 1990",3,3,10.1023/A:1018998529283 || 10.1016/0887-2333(94)90078-7 || 10.1111/1523-1747.ep12475447,10.1023/A:1018998529283 || 10.1016/0887-2333(94)90078-7 || 10.1111/1523-1747.ep12475447,3,3
53,Butoxyethanol,CCCCOC(C)O,CCCCOC(O)C,3,3,0,100.00000000,Low (≤0.5 log unit),-6.36400000,-5.98200000,-6.11533333,-6.00000000,0.21553963,0.19100000,0.38200000,2.40990543,-6.36400000,-5.98200000,-6.11533333,-6.00000000,0.21553963,0.19100000,0.38200000,-5.78737537,-5.78737537,-5.78737537,-5.78737537,0.00000000,0.00000000,0.00000000,1,-5.78737537,-5.78737537,-5.78737537,-5.78737537,0.00000000,0.00000000,0.00000000,1,0.19462463,0.57662463,0.32795797,3,3,32,32,"Buist, 2010 || Wilkinson, 2006","Buist, 2010 || Wilkinson, 2006",2,2,10.1016/j.yrtph.2010.02.008 || 10.1007/s00420-005-0056-5,10.1016/j.yrtph.2010.02.008 || 10.1007/s00420-005-0056-5,2,2
54,2-Naphthol,Oc1ccc2ccccc2c1,Oc1ccc2c(c1)cccc2,2,2,0,100.00000000,Low (≤0.5 log unit),-5.11100000,-4.75700000,-4.93400000,-4.93400000,0.25031580,0.17700000,0.35400000,2.25943577,-5.11100000,-4.75700000,-4.93400000,-4.93400000,0.25031580,0.17700000,0.35400000,-4.95619648,-4.93168735,-4.94394192,-4.94394192,0.01733057,0.01225456,0.02450913,2,-4.95619648,-4.93168735,-4.94394192,-4.94394192,0.01733057,0.01225456,0.02450913,2,0.15480352,0.17468735,0.16474544,2,2,25 | 32,25 | 32,"Roberts, 1977 || Zhang, 2009","Roberts, 1977 || Zhang, 2009",2,2,10.1111/j.2042-7158.1977.tb11434.x || 10.1007/s11095-009-9912-4,10.1111/j.2042-7158.1977.tb11434.x || 10.1007/s11095-009-9912-4,2,2
55,Ethylene glycol mono methyl ether acetate,COCCOC(C)=O,COCCOC(=O)C,2,2,0,100.00000000,Low (≤0.5 log unit),-6.63700000,-6.29900000,-6.46800000,-6.46800000,0.23900209,0.16900000,0.33800000,2.17770977,-6.63700000,-6.29900000,-6.46800000,-6.46800000,0.23900209,0.16900000,0.33800000,-6.13496448,-6.13496448,-6.13496448,-6.13496448,0.00000000,0.00000000,0.00000000,1,-6.13496448,-6.13496448,-6.13496448,-6.13496448,0.00000000,0.00000000,0.00000000,1,0.16403552,0.50203552,0.33303552,2,2,,,"Venier, 2004","Venier, 2004",1,1,10.1016/j.tiv.2004.03.004,10.1016/j.tiv.2004.03.004,1,1
56,"2,4-Dichlorophenol",Oc1ccc(Cl)cc1Cl,Clc1ccc(c(c1)Cl)O,2,2,0,100.00000000,Low (≤0.5 log unit),-5.06500000,-4.77800000,-4.92150000,-4.92150000,0.20293965,0.14350000,0.28700000,1.93642196,-5.06500000,-4.77800000,-4.92150000,-4.92150000,0.20293965,0.14350000,0.28700000,-4.71793829,-4.71530510,-4.71662170,-4.71662170,0.00186195,0.00131659,0.00263319,2,-4.71793829,-4.71530510,-4.71662170,-4.71662170,0.00186195,0.00131659,0.00263319,2,0.06269490,0.34706171,0.20487830,2,2,25,25,"Buist, 2010 || Roberts, 1977","Buist, 2010 || Roberts, 1977",2,2,10.1016/j.yrtph.2010.02.008 || 10.1111/j.2042-7158.1977.tb11434.x,10.1016/j.yrtph.2010.02.008 || 10.1111/j.2042-7158.1977.tb11434.x,2,2
57,Chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CN(CCC(c1ccccn1)c1ccc(cc1)Cl)C,2,1,1,50.00000000,Low (≤0.5 log unit),-6.49100000,-6.21600000,-6.35350000,-6.35350000,0.19445436,0.13750000,0.27500000,1.88364909,-6.21600000,-6.21600000,-6.21600000,-6.21600000,,0.00000000,0.00000000,-5.68181778,-5.68181778,-5.68181778,-5.68181778,0.00000000,0.00000000,0.00000000,1,-5.68181778,-5.68181778,-5.68181778,-5.68181778,,0.00000000,0.00000000,1,0.53418222,0.53418222,0.53418222,2,1,30,30,"Michaels A. S., 1975","Michaels A. S., 1975",1,1,10.1002/aic.690210522,10.1002/aic.690210522,1,1
58,Ethylene glycol mono isopropyl ether,CC(C)OCCO,OCCOC(C)C,2,2,0,100.00000000,Low (≤0.5 log unit),-7.12500000,-6.91300000,-7.01900000,-7.01900000,0.14990664,0.10600000,0.21200000,1.62929603,-7.12500000,-6.91300000,-7.01900000,-7.01900000,0.14990664,0.10600000,0.21200000,-6.70777923,-6.70777923,-6.70777923,-6.70777923,0.00000000,0.00000000,0.00000000,1,-6.70777923,-6.70777923,-6.70777923,-6.70777923,0.00000000,0.00000000,0.00000000,1,0.20522077,0.41722077,0.31122077,2,2,,,"Venier, 2004","Venier, 2004",1,1,10.1016/j.tiv.2004.03.004,10.1016/j.tiv.2004.03.004,1,1
59,Butyl p-aminobenzoate,CCCCOC(=O)c1ccc(N)cc1,CCCCOC(=O)c1ccc(cc1)N,2,2,0,100.00000000,Low (≤0.5 log unit),-4.60700000,-4.41000000,-4.50850000,-4.50850000,0.13930004,0.09850000,0.19700000,1.57398286,-4.60700000,-4.41000000,-4.50850000,-4.50850000,0.13930004,0.09850000,0.19700000,-5.00240509,-5.00240509,-5.00240509,-5.00240509,0.00000000,0.00000000,0.00000000,1,-5.00240509,-5.00240509,-5.00240509,-5.00240509,0.00000000,0.00000000,0.00000000,1,0.39540509,0.59240509,0.49390509,2,2,25,25,"Roy, 1993","Roy, 1993",1,1,10.1002/jps.2600821217,10.1002/jps.2600821217,1,1
60,Chlorocresol,Cc1c(O)cccc1Cl,Cc1c(O)cccc1Cl,2,2,0,100.00000000,Low (≤0.5 log unit),-5.00000000,-4.81600000,-4.90800000,-4.90800000,0.13010765,0.09200000,0.18400000,1.52756606,-5.00000000,-4.81600000,-4.90800000,-4.90800000,0.13010765,0.09200000,0.18400000,-4.91424669,-4.88830638,-4.90127654,-4.90127654,0.01834257,0.01297015,0.02594031,2,-4.91424669,-4.88830638,-4.90127654,-4.90127654,0.01834257,0.01297015,0.02594031,2,0.09824669,0.11169362,0.10497015,2,2,25 | 32,25 | 32,"Roberts, 1977 || Zhang, 2009","Roberts, 1977 || Zhang, 2009",2,2,10.1111/j.2042-7158.1977.tb11434.x || 10.1007/s11095-009-9912-4,10.1111/j.2042-7158.1977.tb11434.x || 10.1007/s11095-009-9912-4,2,2
61,Benzene,c1ccccc1,c1ccccc1,2,2,0,100.00000000,Low (≤0.5 log unit),-4.51100000,-4.35200000,-4.43150000,-4.43150000,0.11242998,0.07950000,0.15900000,1.44211535,-4.51100000,-4.35200000,-4.43150000,-4.43150000,0.11242998,0.07950000,0.15900000,-4.39843731,-4.38829441,-4.39336586,-4.39336586,0.00717212,0.00507145,0.01014290,2,-4.39843731,-4.38829441,-4.39336586,-4.39336586,0.00717212,0.00507145,0.01014290,2,0.04643731,0.12270559,0.08457145,2,2,31 | 25,31 | 25,"Blank, 1985 || Mitragotri, 1995","Blank, 1985 || Mitragotri, 1995",2,2,10.1111/1523-1747.ep12277325 || 10.1002/jps.2600840607,10.1111/1523-1747.ep12277325 || 10.1002/jps.2600840607,2,2
62,Aspartic acid,NC(CC(=O)O)C(=O)O,OC(=O)CC(C(=O)O)N,2,2,0,100.00000000,Low (≤0.5 log unit),-7.58500000,-7.43200000,-7.50850000,-7.50850000,0.10818734,0.07650000,0.15300000,1.42232879,-7.58500000,-7.43200000,-7.50850000,-7.50850000,0.10818734,0.07650000,0.15300000,-7.63349631,-7.63349631,-7.63349631,-7.63349631,0.00000000,0.00000000,0.00000000,1,-7.63349631,-7.63349631,-7.63349631,-7.63349631,0.00000000,0.00000000,0.00000000,1,0.04849631,0.20149631,0.12499631,2,2,,,"Sznitowska, 1993","Sznitowska, 1993",1,1,10.1016/0378-5173(93)90321-6,10.1016/0378-5173(93)90321-6,1,1
63,Chloroxylenol,Cc1ccc(Cl)c(O)c1C,Cc1ccc(c(c1C)O)Cl,2,2,0,100.00000000,Low (≤0.5 log unit),-4.78500000,-4.65100000,-4.71800000,-4.71800000,0.09475231,0.06700000,0.13400000,1.36144468,-4.78500000,-4.65100000,-4.71800000,-4.71800000,0.09475231,0.06700000,0.13400000,-4.90191039,-4.88430592,-4.89310815,-4.89310815,0.01244824,0.00880223,0.01760446,2,-4.90191039,-4.88430592,-4.89310815,-4.89310815,0.01244824,0.00880223,0.01760446,2,0.11691039,0.23330592,0.17510815,2,2,25 | 32,25 | 32,"Roberts, 1977 || Zhang, 2009","Roberts, 1977 || Zhang, 2009",2,2,10.1111/j.2042-7158.1977.tb11434.x || 10.1007/s11095-009-9912-4,10.1111/j.2042-7158.1977.tb11434.x || 10.1007/s11095-009-9912-4,2,2
64,Flufenamic acid,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,4,4,0,100.00000000,Low (≤0.5 log unit),-6.20100000,-6.09400000,-6.15000000,-6.15250000,0.05535943,0.08900000,0.10700000,1.27938130,-6.20100000,-6.09400000,-6.15000000,-6.15250000,0.05535943,0.08900000,0.10700000,-6.14900596,-6.14900596,-6.14900596,-6.14900596,0.00000000,0.00000000,0.00000000,1,-6.14900596,-6.14900596,-6.14900596,-6.14900596,0.00000000,0.00000000,0.00000000,1,0.03800596,0.05500596,0.04750000,4,4,32,32,"Henning, 2008","Henning, 2008",1,1,10.1159/000112958,10.1159/000112958,1,1
65,Histidine,N[C@@H](Cc1c[nH]cn1)C(=O)O,N[C@H](C(=O)O)Cc1c[nH]cn1,3,3,0,100.00000000,Low (≤0.5 log unit),-7.90700000,-7.81200000,-7.87400000,-7.90300000,0.05373081,0.04750000,0.09500000,1.24451461,-7.90700000,-7.81200000,-7.87400000,-7.90300000,0.05373081,0.04750000,0.09500000,-7.59313163,-7.59313163,-7.59313163,-7.59313163,0.00000000,0.00000000,0.00000000,1,-7.59313163,-7.59313163,-7.59313163,-7.59313163,0.00000000,0.00000000,0.00000000,1,0.21886837,0.31386837,0.28086837,3,3,,,"Sznitowska, 1993","Sznitowska, 1993",1,1,10.1016/0378-5173(93)90321-6,10.1016/0378-5173(93)90321-6,1,1
66,Thymol,Cc1ccc(C(C)C)c(O)c1,Cc1ccc(c(c1)O)C(C)C,3,3,0,100.00000000,Low (≤0.5 log unit),-4.86000000,-4.77000000,-4.82133333,-4.83400000,0.04631774,0.04500000,0.09000000,1.23026877,-4.86000000,-4.77000000,-4.82133333,-4.83400000,0.04631774,0.04500000,0.09000000,-4.77349764,-4.74197271,-4.75248102,-4.74197271,0.01820093,0.01576247,0.03152494,2,-4.77349764,-4.74197271,-4.75248102,-4.74197271,0.01820093,0.01576247,0.03152494,2,0.02802729,0.11802729,0.06885232,3,3,25 | 32,25 | 32,"Chantasart, 2010 || Roberts, 1977 || Zhang, 2009","Chantasart, 2010 || Roberts, 1977 || Zhang, 2009",3,3,10.1007/s11095-010-0181-z || 10.1111/j.2042-7158.1977.tb11434.x || 10.1007/s11095-009-9912-4,10.1007/s11095-010-0181-z || 10.1111/j.2042-7158.1977.tb11434.x || 10.1007/s11095-009-9912-4,3,3
67,1-Methoxy-2-Propanol,COCC(C)O,COCC(O)C,2,2,0,100.00000000,Low (≤0.5 log unit),-6.45900000,-6.39700000,-6.42800000,-6.42800000,0.04384062,0.03100000,0.06200000,1.15345326,-6.45900000,-6.39700000,-6.42800000,-6.42800000,0.04384062,0.03100000,0.06200000,-6.82087408,-6.80702636,-6.81395022,-6.81395022,0.00979182,0.00692386,0.01384772,2,-6.82087408,-6.80702636,-6.81395022,-6.81395022,0.00979182,0.00692386,0.01384772,2,0.36187408,0.41002636,0.38595022,2,2,30,30,"Wilkinson, 2002 || Dugard, 1984","Wilkinson, 2002 || Dugard, 1984",2,2,10.1007/s00420-002-0367-8 || 10.1289/ehp.8457193,10.1007/s00420-002-0367-8 || 10.1289/ehp.8457193,2,2
68,Carvacrol,Cc1ccc(C(C)C)cc1O,CC(c1ccc(c(c1)O)C)C,2,2,0,100.00000000,Low (≤0.5 log unit),-4.84200000,-4.81000000,-4.82600000,-4.82600000,0.02262742,0.01600000,0.03200000,1.07646521,-4.84200000,-4.81000000,-4.82600000,-4.82600000,0.02262742,0.01600000,0.03200000,-4.78802485,-4.78802485,-4.78802485,-4.78802485,0.00000000,0.00000000,0.00000000,1,-4.78802485,-4.78802485,-4.78802485,-4.78802485,0.00000000,0.00000000,0.00000000,1,0.02197515,0.05397515,0.03797515,2,2,32,32,"Chantasart, 2010 || Zhang, 2009","Chantasart, 2010 || Zhang, 2009",2,2,10.1007/s11095-010-0181-z || 10.1007/s11095-009-9912-4,10.1007/s11095-010-0181-z || 10.1007/s11095-009-9912-4,2,2
69,Phenol,Oc1ccccc1,Oc1ccccc1,2,2,0,100.00000000,Low (≤0.5 log unit),-5.61400000,-5.58600000,-5.60000000,-5.60000000,0.01979899,0.01400000,0.02800000,1.06659612,-5.61400000,-5.58600000,-5.60000000,-5.60000000,0.01979899,0.01400000,0.02800000,-6.05113269,-6.03762779,-6.04438024,-6.04438024,0.00954940,0.00675245,0.01350489,2,-6.05113269,-6.03762779,-6.04438024,-6.04438024,0.00954940,0.00675245,0.01350489,2,0.42362779,0.46513269,0.44438024,2,2,37 | 25,37 | 25,"du Plessis, 2002 || Roberts, 1977","du Plessis, 2002 || Roberts, 1977",2,2,10.1016/S0928-0987(02)00085-4 || 10.1111/j.2042-7158.1977.tb11434.x,10.1016/S0928-0987(02)00085-4 || 10.1111/j.2042-7158.1977.tb11434.x,2,2
70,Diethyl ether,CCOCC,CCOCC,2,2,0,100.00000000,Low (≤0.5 log unit),-5.35200000,-5.32500000,-5.33850000,-5.33850000,0.01909188,0.01350000,0.02700000,1.06414302,-5.35200000,-5.32500000,-5.33850000,-5.33850000,0.01909188,0.01350000,0.02700000,-5.49390726,-5.47589023,-5.48489874,-5.48489874,0.01273996,0.00900851,0.01801702,2,-5.49390726,-5.47589023,-5.48489874,-5.48489874,0.01273996,0.00900851,0.01801702,2,0.12389023,0.16890726,0.14639874,2,2,30,30,"Blank, 1967 || Scheuplein, 1967","Blank, 1967 || Scheuplein, 1967",2,2,10.1038/jid.1967.184 || 10.1038/jid.1967.11,10.1038/jid.1967.184 || 10.1038/jid.1967.11,2,2
71,1-Octyl-2-Pyrrolidone,CCCCCCCCN1CCCC1=O,CCCCCCCCN1CCCC1=O,2,2,0,100.00000000,Low (≤0.5 log unit),-4.82700000,-4.81000000,-4.81850000,-4.81850000,0.01202082,0.00850000,0.01700000,1.03992017,-4.82700000,-4.81000000,-4.81850000,-4.81850000,0.01202082,0.00850000,0.01700000,-5.40574154,-5.40574154,-5.40574154,-5.40574154,0.00000000,0.00000000,0.00000000,1,-5.40574154,-5.40574154,-5.40574154,-5.40574154,0.00000000,0.00000000,0.00000000,1,0.57874154,0.59574154,0.58724154,2,2,,,"Chantasart, 2010","Chantasart, 2010",1,1,10.1007/s11095-010-0181-z,10.1007/s11095-010-0181-z,1,1
72,Hydrocortisone 21-propionate,CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,2,2,0,100.00000000,Low (≤0.5 log unit),-6.03800000,-6.02500000,-6.03150000,-6.03150000,0.00919239,0.00650000,0.01300000,1.03038612,-6.03800000,-6.02500000,-6.03150000,-6.03150000,0.00919239,0.00650000,0.01300000,-6.20079084,-6.20079084,-6.20079084,-6.20079084,0.00000000,0.00000000,0.00000000,1,-6.20079084,-6.20079084,-6.20079084,-6.20079084,0.00000000,0.00000000,0.00000000,1,0.16279084,0.17579084,0.16929084,2,2,37,37,"Anderson, 1988","Anderson, 1988",1,1,10.1023/a:1015989929342,10.1023/a:1015989929342,1,1
73,"2,3-Butanediol",CC(O)C(C)O,CC(C(O)C)O,2,2,0,100.00000000,Low (≤0.5 log unit),-7.85700000,-7.85700000,-7.85700000,-7.85700000,0.00000000,0.00000000,0.00000000,1.00000000,-7.85700000,-7.85700000,-7.85700000,-7.85700000,0.00000000,0.00000000,0.00000000,-7.55467300,-7.51394067,-7.53430684,-7.53430684,0.02880210,0.02036616,0.04073232,2,-7.55467300,-7.51394067,-7.53430684,-7.53430684,0.02880210,0.02036616,0.04073232,2,0.30232700,0.34305933,0.32269316,2,2,30,30,"Blank, 1967 || Scheuplein, 1967","Blank, 1967 || Scheuplein, 1967",2,2,10.1038/jid.1967.184 || 10.1038/jid.1967.11,10.1038/jid.1967.184 || 10.1038/jid.1967.11,2,2
74,Butan-2-one,CCC(C)=O,CCC(=O)C,2,2,0,100.00000000,Low (≤0.5 log unit),-5.90300000,-5.90300000,-5.90300000,-5.90300000,0.00000000,0.00000000,0.00000000,1.00000000,-5.90300000,-5.90300000,-5.90300000,-5.90300000,0.00000000,0.00000000,0.00000000,-6.34493728,-6.29942838,-6.32218283,-6.32218283,0.03217965,0.02275445,0.04550890,2,-6.34493728,-6.29942838,-6.32218283,-6.32218283,0.03217965,0.02275445,0.04550890,2,0.39642838,0.44193728,0.41918283,2,2,30,30,"Blank, 1967 || Scheuplein, 1967","Blank, 1967 || Scheuplein, 1967",2,2,10.1038/jid.1967.184 || 10.1038/jid.1967.11,10.1038/jid.1967.184 || 10.1038/jid.1967.11,2,2
75,Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C,2,2,0,100.00000000,Low (≤0.5 log unit),-6.32600000,-6.32600000,-6.32600000,-6.32600000,0.00000000,0.00000000,0.00000000,1.00000000,-6.32600000,-6.32600000,-6.32600000,-6.32600000,0.00000000,0.00000000,0.00000000,-6.49437877,-6.49437877,-6.49437877,-6.49437877,0.00000000,0.00000000,0.00000000,1,-6.49437877,-6.49437877,-6.49437877,-6.49437877,0.00000000,0.00000000,0.00000000,1,0.16837877,0.16837877,0.16837877,2,2,37,37,"Anderson, 1988","Anderson, 1988",1,1,10.1023/a:1015989929342,10.1023/a:1015989929342,1,1
76,"1,2,4-Benzenetriol",Oc1ccc(O)c(O)c1,Oc1ccc(c(c1)O)O,1,1,0,100.00000000,Single measurement,-7.45600000,-7.45600000,-7.45600000,-7.45600000,,0.00000000,0.00000000,1.00000000,-7.45600000,-7.45600000,-7.45600000,-7.45600000,,0.00000000,0.00000000,-7.24970682,-7.24970682,-7.24970682,-7.24970682,,0.00000000,0.00000000,1,-7.24970682,-7.24970682,-7.24970682,-7.24970682,,0.00000000,0.00000000,1,0.20629318,0.20629318,0.20629318,1,1,37,37,"du Plessis, 2002","du Plessis, 2002",1,1,10.1016/S0928-0987(02)00085-4,10.1016/S0928-0987(02)00085-4,1,1
77,1-Hexyl-2-Pyrrolidone,CCCCCCN1CCCC1=O,CCCCCCN1CCCC1=O,1,1,0,100.00000000,Single measurement,-5.20800000,-5.20800000,-5.20800000,-5.20800000,,0.00000000,0.00000000,1.00000000,-5.20800000,-5.20800000,-5.20800000,-5.20800000,,0.00000000,0.00000000,-5.28566611,-5.28566611,-5.28566611,-5.28566611,,0.00000000,0.00000000,1,-5.28566611,-5.28566611,-5.28566611,-5.28566611,,0.00000000,0.00000000,1,0.07766611,0.07766611,0.07766611,1,1,,,"Chantasart, 2010","Chantasart, 2010",1,1,10.1007/s11095-010-0181-z,10.1007/s11095-010-0181-z,1,1
78,17-Hydroxyprogesterone,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@]2(O)C(=O)C)C)C,1,1,0,100.00000000,Single measurement,-6.77800000,-6.77800000,-6.77800000,-6.77800000,,0.00000000,0.00000000,1.00000000,-6.77800000,-6.77800000,-6.77800000,-6.77800000,,0.00000000,0.00000000,-6.71324768,-6.71324768,-6.71324768,-6.71324768,,0.00000000,0.00000000,1,-6.71324768,-6.71324768,-6.71324768,-6.71324768,,0.00000000,0.00000000,1,0.06475232,0.06475232,0.06475232,1,1,26,26,"Scheuplein, 1969","Scheuplein, 1969",1,1,10.1038/jid.1969.9,10.1038/jid.1969.9,1,1
79,"2,4,6-Trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl,Clc1cc(Cl)c(c(c1)Cl)O,1,1,0,100.00000000,Single measurement,-4.78300000,-4.78300000,-4.78300000,-4.78300000,,0.00000000,0.00000000,1.00000000,-4.78300000,-4.78300000,-4.78300000,-4.78300000,,0.00000000,0.00000000,-4.80543357,-4.80543357,-4.80543357,-4.80543357,,0.00000000,0.00000000,1,-4.80543357,-4.80543357,-4.80543357,-4.80543357,,0.00000000,0.00000000,1,0.02243357,0.02243357,0.02243357,1,1,25,25,"Roberts, 1977","Roberts, 1977",1,1,10.1111/j.2042-7158.1977.tb11434.x,10.1111/j.2042-7158.1977.tb11434.x,1,1
80,2-Ethylhexanol,CCCCC(CC)CO,CCCCC(CO)CC,1,1,0,100.00000000,Single measurement,-4.34300000,-4.34300000,-4.34300000,-4.34300000,,0.00000000,0.00000000,1.00000000,-4.34300000,-4.34300000,-4.34300000,-4.34300000,,0.00000000,0.00000000,-4.93673172,-4.93673172,-4.93673172,-4.93673172,,0.00000000,0.00000000,1,-4.93673172,-4.93673172,-4.93673172,-4.93673172,,0.00000000,0.00000000,1,0.59373172,0.59373172,0.59373172,1,1,,,"Barber, 1992","Barber, 1992",1,1,10.1016/0272-0590(92)90086-W,10.1016/0272-0590(92)90086-W,1,1
81,2-Methoxyethanol,COCCO,COCCO,1,1,0,100.00000000,Single measurement,-6.09500000,-6.09500000,-6.09500000,-6.09500000,,0.00000000,0.00000000,1.00000000,-6.09500000,-6.09500000,-6.09500000,-6.09500000,,0.00000000,0.00000000,-6.40675730,-6.40675730,-6.40675730,-6.40675730,,0.00000000,0.00000000,1,-6.40675730,-6.40675730,-6.40675730,-6.40675730,,0.00000000,0.00000000,1,0.31175730,0.31175730,0.31175730,1,1,30,30,"Dugard, 1984","Dugard, 1984",1,1,10.1289/ehp.8457193,10.1289/ehp.8457193,1,1
82,2-Nitro-p-Phenylenediamine,Nc1ccc(N)c([N+](=O)[O-])c1,Nc1ccc(c(c1)[N+](=O)[O-])N,1,1,0,100.00000000,Single measurement,-6.85700000,-6.85700000,-6.85700000,-6.85700000,,0.00000000,0.00000000,1.00000000,-6.85700000,-6.85700000,-6.85700000,-6.85700000,,0.00000000,0.00000000,-6.47061896,-6.47061896,-6.47061896,-6.47061896,,0.00000000,0.00000000,1,-6.47061896,-6.47061896,-6.47061896,-6.47061896,,0.00000000,0.00000000,1,0.38638104,0.38638104,0.38638104,1,1,32,32,"Bronaugh, 1984","Bronaugh, 1984",1,1,10.1111/1523-1747.ep12263302,10.1111/1523-1747.ep12263302,1,1
83,2-Phenylethanol,OCCc1ccccc1,OCCc1ccccc1,1,1,0,100.00000000,Single measurement,-5.27600000,-5.27600000,-5.27600000,-5.27600000,,0.00000000,0.00000000,1.00000000,-5.27600000,-5.27600000,-5.27600000,-5.27600000,,0.00000000,0.00000000,-5.26347735,-5.26347735,-5.26347735,-5.26347735,,0.00000000,0.00000000,1,-5.26347735,-5.26347735,-5.26347735,-5.26347735,,0.00000000,0.00000000,1,0.01252265,0.01252265,0.01252265,1,1,,,"Chantasart, 2010","Chantasart, 2010",1,1,10.1007/s11095-010-0181-z,10.1007/s11095-010-0181-z,1,1
84,"3,4-Xylenol",Cc1ccc(O)cc1C,Oc1ccc(c(c1)C)C,1,1,0,100.00000000,Single measurement,-5.00000000,-5.00000000,-5.00000000,-5.00000000,,0.00000000,0.00000000,1.00000000,-5.00000000,-5.00000000,-5.00000000,-5.00000000,,0.00000000,0.00000000,-5.02496825,-5.02496825,-5.02496825,-5.02496825,,0.00000000,0.00000000,1,-5.02496825,-5.02496825,-5.02496825,-5.02496825,,0.00000000,0.00000000,1,0.02496825,0.02496825,0.02496825,1,1,25,25,"Roberts, 1977","Roberts, 1977",1,1,10.1111/j.2042-7158.1977.tb11434.x,10.1111/j.2042-7158.1977.tb11434.x,1,1
