Source_Data_Row,Compound name,Smiles,Canonical_SMILES,logkp (cm/s),Predicted_logKp_LGBM,Prediction_Error_LGBM,Absolute_Error_LGBM,Within_Tolerance_LGBM,skin source type,skin source site,used layer,skin preparation,storage temperature (°C),storage duration (days),neat,donor/skin surface temperature (°C),donor pH,donor type,acceptor temperature (°C),acceptor pH,acceptor type,cell type,reference,DOI,DOI_URL,LogP,molecular weight,Condition_Signature
294,1-Propanol,CCCO,CCCO,-7.35200000,-6.40916063,0.94283937,0.94283937,False,Cadaver,abdomen,epidermis,heat separation,4,unknown,1,25,unknown,unknown,unknown,unknown,Water,Pyrex cell,"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,0.38870000,60.05751488,skin source type=Cadaver; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=4; storage duration (days)=unknown; neat=1; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=unknown; acceptor pH=unknown; acceptor type=Water; cell type=Pyrex cell
295,Betamethasone-17-valerate,CCCCC(=O)OC1(C(C)CC2C1(C)CC(O)C1(C2CCC2=CC(=O)C=CC12C)F)C(=O)CO,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6.49600000,-6.46176722,0.03423278,0.03423278,True,unknown,abdomen,dermis,heat separation,-20,unknown,0,25,unknown,unknown,25,unknown,unknown,Glass diffusion cell,"Siddiqui, 1989",10.1007/bf01061455,https://doi.org/10.1007/bf01061455,3.63680000,476.25741712,skin source type=unknown; skin source site=abdomen; used layer=dermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=25; acceptor pH=unknown; acceptor type=unknown; cell type=Glass diffusion cell
297,Hydrocortisone,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-9.10600000,-7.45466450,1.65133550,1.65133550,False,unknown,abdomen,dermis,heat separation,-20,unknown,0,25,unknown,unknown,25,unknown,unknown,Glass diffusion cell,"Siddiqui, 1989",10.1007/bf01061455,https://doi.org/10.1007/bf01061455,1.78160000,362.20932406,skin source type=unknown; skin source site=abdomen; used layer=dermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=25; acceptor pH=unknown; acceptor type=unknown; cell type=Glass diffusion cell
298,Prednisolone,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-7.90600000,-7.74241974,0.16358026,0.16358026,True,unknown,abdomen,dermis,heat separation,-20,unknown,0,25,unknown,unknown,25,unknown,unknown,Glass diffusion cell,"Siddiqui, 1989",10.1007/bf01061455,https://doi.org/10.1007/bf01061455,1.55760000,360.19367400,skin source type=unknown; skin source site=abdomen; used layer=dermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=25; acceptor pH=unknown; acceptor type=unknown; cell type=Glass diffusion cell
299,Testosterone,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,-6.62600000,-5.79805027,0.82794973,0.82794973,False,unknown,abdomen,dermis,heat separation,-20,unknown,0,25,unknown,unknown,25,unknown,unknown,Glass diffusion cell,"Siddiqui, 1989",10.1007/bf01061455,https://doi.org/10.1007/bf01061455,3.87920000,288.20893014,skin source type=unknown; skin source site=abdomen; used layer=dermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=25; acceptor pH=unknown; acceptor type=unknown; cell type=Glass diffusion cell
300,Triamcinolone,OCC(=O)[C@@]1(O)[C@H](O)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,-8.95600000,-8.64571184,0.31028816,0.31028816,True,unknown,abdomen,dermis,heat separation,-20,unknown,0,25,unknown,unknown,25,unknown,unknown,Glass diffusion cell,"Siddiqui, 1989",10.1007/bf01061455,https://doi.org/10.1007/bf01061455,0.62050000,394.17916680,skin source type=unknown; skin source site=abdomen; used layer=dermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=25; donor pH=unknown; donor type=unknown; acceptor temperature (°C)=25; acceptor pH=unknown; acceptor type=unknown; cell type=Glass diffusion cell
302,Flurbiprofen,OC(=O)C(c1ccc(c(c1)F)c1ccccc1)C,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-5.33100000,-5.84809304,-0.51709304,0.51709304,True,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,37,7,PBS,37,7.4,PBS,Franz cell,"Swart, 2005",10.1016/j.ijpharm.2005.05.030,https://doi.org/10.1016/j.ijpharm.2005.05.030,3.68080000,244.08995788,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=37; donor pH=7; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=7.4; acceptor type=PBS; cell type=Franz cell
303,Flurbiprofen glucoside,OC1O[C@H](COC(=O)C(c2ccc(c(c2)F)c2ccccc2)C)[C@H]([C@@H]([C@H]1O)O)O,CC(C(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,-6.47700000,-6.95449299,-0.47749299,0.47749299,True,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,37,7,PBS,37,7.4,PBS,Franz cell,"Swart, 2005",10.1016/j.ijpharm.2005.05.030,https://doi.org/10.1016/j.ijpharm.2005.05.030,0.93930000,406.14278130,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=37; donor pH=7; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=7.4; acceptor type=PBS; cell type=Franz cell
304,Flurbiprofen mannoside,OC1O[C@H](COC(=O)C(c2ccc(c(c2)F)c2ccccc2)C)[C@H]([C@@H]([C@@H]1O)O)O,CC(C(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,-6.93500000,-6.95449299,-0.01949299,0.01949299,True,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,37,7,PBS,37,7.4,PBS,Franz cell,"Swart, 2005",10.1016/j.ijpharm.2005.05.030,https://doi.org/10.1016/j.ijpharm.2005.05.030,0.93930000,406.14278130,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=37; donor pH=7; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=7.4; acceptor type=PBS; cell type=Franz cell
305,Ibuprofen,CC(Cc1ccc(cc1)C(C(=O)O)C)C,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-5.50300000,-5.53980265,-0.03680265,0.03680265,True,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,37,7,PBS,37,7.4,PBS,Franz cell,"Swart, 2005",10.1016/j.ijpharm.2005.05.030,https://doi.org/10.1016/j.ijpharm.2005.05.030,3.07320000,206.13067982,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=37; donor pH=7; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=7.4; acceptor type=PBS; cell type=Franz cell
306,Ibuprofen glucoside,CC(Cc1ccc(cc1)C(C(=O)OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O)C)C,CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)cc1,-6.94500000,-7.07021411,-0.12521411,0.12521411,True,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,37,7,PBS,37,7.4,PBS,Franz cell,"Swart, 2005",10.1016/j.ijpharm.2005.05.030,https://doi.org/10.1016/j.ijpharm.2005.05.030,0.33170000,368.18350324,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=37; donor pH=7; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=7.4; acceptor type=PBS; cell type=Franz cell
307,Ibuprofen mannoside,CC(Cc1ccc(cc1)C(C(=O)OC[C@H]1OC(O)[C@H]([C@H]([C@@H]1O)O)O)C)C,CC(C)Cc1ccc(C(C)C(=O)OC[C@H]2OC(O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,-6.54800000,-7.07021411,-0.52221411,0.52221411,True,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,37,7,PBS,37,7.4,PBS,Franz cell,"Swart, 2005",10.1016/j.ijpharm.2005.05.030,https://doi.org/10.1016/j.ijpharm.2005.05.030,0.33170000,368.18350324,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=37; donor pH=7; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=7.4; acceptor type=PBS; cell type=Franz cell
308,Ketoprofen,OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-6.15100000,-6.11446130,0.03653870,0.03653870,True,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,37,7,PBS,37,7.4,PBS,Franz cell,"Swart, 2005",10.1016/j.ijpharm.2005.05.030,https://doi.org/10.1016/j.ijpharm.2005.05.030,3.10570000,254.09429431,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=-20; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=37; donor pH=7; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=7.4; acceptor type=PBS; cell type=Franz cell
