Compound,SMILES,Experimental_logKp
Prednisolone,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,-4.33
Benzyl alcohol,C1=CC=C(C=C1)CO,-2.22
Thymol; 2-Isopropyl-5-methylphenol,CC1=CC(=C(C=C1)C(C)C)O,-1.21
"2,4,6-Trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,-1.23
Progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,-2.82
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-3.66
sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,-4.02
Glycerol,C(C(CO)O)O,-4.57
acetic acid,CC(=O)O,-2.49
Sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,-4.18
testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-1.95
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-5.13
Testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-3.07
Phenol,C1=CC=C(C=C1)O,-2.09
Diethyl phthalate,CCOC(=O)C1=CC=CC=C1C(=O)OCC,-1.71
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.58
2-Phenylethanol,C1=CC=C(C=C1)CCO,-2.12
Propanol,CCCO,-2.92
Iso-thymol; Carvacrol,CC1=C(C=C(C=C1)C(C)C)O,-1.25
p-Phenylenediamine,C1=CC(=CC=C1N)N,-3.62
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-4.59
Testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-2.27
Hydroquinone,C1=CC(=CC=C1O)O,-5.03
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.19
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.49
benzoic acid,C1=CC=C(C=C1)C(=O)O,-2.12
propylparaben,CCCOC(=O)C1=CC=C(C=C1)O,-1.56
Butanol,CCCCO,-2.52
methyl salicylate,COC(=O)C1=CC=CC=C1O,-1.44
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.38
Raffinose,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,-4.3
5-Fluorouracil (+ - + -),C1=C(C(=O)NC(=O)N1)F,-4.47
propylparaben,CCCOC(=O)C1=CC=C(C=C1)O,-1.61
pyrogallol,C1=CC(=C(C(=C1)O)O)O,-2.81
Octanol,CCCCCCCCO,-1.15
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.47
testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-2.01
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-5.38
Butanol,CCCCO,-2.66
Betamethasone-17-valerate,CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO,-2.88
Testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-2.06
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.64
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.88
linolenic acid,CCC=CCC=CCC=CCCCCCCCC(=O)O,-2.43
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.36
2-Ethoxy ethanol,CCOCCO,-3.6
HC Red No. 3; 2-(4-Amino-2-nitroanilino)-ethanol,C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,-1.67
Sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,-4.32
Benzylideneacetone,CC(=O)C=CC1=CC=CC=C1,-1.12
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.54
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.22
4-Amino-3-nitrophenol,C1=CC(=C(C=C1O)[N+](=O)[O-])N,-2.27
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.52
butoxyethanol,CCCCOCCO,-2.27
Estrone,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,-2.44
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.21
"3-Methyl-3H-imidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,-2.07
Dimethyl phthalate,COC(=O)C1=CC=CC=C1C(=O)OC,-1.55
Hexanol,CCCCCCO,-1.89
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.79
chloroxylenol,CC1=CC(=CC(=C1Cl)C)O,-1.09
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.1
Diazinon,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,-2.06
Sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,-5.03
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-3.23
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-4.68
Progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,-1.89
Sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,-4.72
o-Cresol,CC1=CC=CC=C1O,-1.8
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.89
Pregnenolone,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,-2.82
Naphthol,C1=CC=C2C(=C1)C=CC=C2O,-1.52
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.9
Diethyl maleate,CCOC(=O)C=CC(=O)OCC,-1.59
1-(diphenylmethyl)-4-propylpiperazine,CCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,-2.36
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.36
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-3.16
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.74
"2,4-Dinitrochlorobenzene",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,-1.5
octylparaben,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,-2.03
2-Ethylhexyl acrylate,CCCCC(CC)COC(=O)C=C,-1.82
p-Ethylphenol,CCC1=CC=C(C=C1)O,-1.46
p-Cresol,CC1=CC=C(C=C1)O,-1.75
Benzophenone,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,-1.25
phenol,C1=CC=C(C=C1)O,-2.03
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.08
Beta-naphthol; 2-naphthol,C1=CC=C2C=C(C=CC2=C1)O,-1.2
decanol,CCCCCCCCCCO,-1.96
"3,4-Xylenol",CC1=C(C=C(C=C1)O)C,-1.44
n-propanol,CCCO,-2.92
phloroglucinol,C1=C(C=C(C=C1O)O)O,-2.51
Chloroxylenol,CC1=CC(=CC(=C1Cl)C)O,-1.23
Hydrocortisone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,-2.68
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-4.22
p-Cresol,CC1=CC=C(C=C1)O,-0.92
n-pentanol,CCCCCO,-2.22
Cinnamyl alcohol,C1=CC=C(C=C1)C=CCO,-1.54
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.88
Hydroxypregnenolone,CC(=O)C1(CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O,-3.22
Hydrocortisone-21-propionate,CCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,-2.47
